run,c8_over_f4_TeV4,c6_over_f2_TeV2,observable,no_daisy,with_daisy,relative_difference
run05,0.0,3.2969696969696973,Tc_minus_Tn_over_Tc,0.171422398951255,0.166361999964361,-0.029520056992861008
run05,0.0,3.3010101010101014,Tc_minus_Tn_over_Tc,0.1728581790684184,0.1676145177311034,-0.030335049030219993
run05,0.0,3.305050505050505,Tc_minus_Tn_over_Tc,0.1744327837861982,0.1692702146843583,-0.029596323522346868
run05,0.0,3.309090909090909,Tc_minus_Tn_over_Tc,0.1758551121733376,0.1706323767695212,-0.029699082041291104
run05,0.0,3.313131313131313,Tc_minus_Tn_over_Tc,0.1771876908245125,0.1720833136887636,-0.028807741169810178
run05,0.0,3.317171717171717,Tc_minus_Tn_over_Tc,0.1788224012246967,0.1735402972022992,-0.029538268059382332
run05,0.0,3.3212121212121213,Tc_minus_Tn_over_Tc,0.180386487132436,0.1749361402350593,-0.030214829192694265
run05,0.0,3.3252525252525253,Tc_minus_Tn_over_Tc,0.1819274794597872,0.176573375058162,-0.02942988281662343
run05,0.0,3.3292929292929294,Tc_minus_Tn_over_Tc,0.1834626434848011,0.1779561465367909,-0.03001426799165456
run05,0.0,3.333333333333333,Tc_minus_Tn_over_Tc,0.184831998805211,0.1795664753883077,-0.028488159252405703
run05,0.0,3.337373737373737,Tc_minus_Tn_over_Tc,0.186750038098183,0.1811031539271509,-0.030237660075138898
run05,0.0,3.3414141414141416,Tc_minus_Tn_over_Tc,0.1881018408885871,0.1827364884598776,-0.028523657202735222
run05,0.0,3.3454545454545457,Tc_minus_Tn_over_Tc,0.18987090817713,0.184184320627265,-0.029949756939909967
run05,0.0,3.3494949494949497,Tc_minus_Tn_over_Tc,0.1913869403269756,0.1860000274513732,-0.028146710880058497
run05,0.0,3.353535353535354,Tc_minus_Tn_over_Tc,0.1930517565709659,0.1872379007204646,-0.030115529398791765
run05,0.0,3.357575757575758,Tc_minus_Tn_over_Tc,0.1948211878796732,0.1890104559295855,-0.029825975364017144
run05,0.0,3.361616161616162,Tc_minus_Tn_over_Tc,0.1964725449828017,0.1906665810720824,-0.029551019004856533
run05,0.0,3.3656565656565656,Tc_minus_Tn_over_Tc,0.1981912756386357,0.1924915486635516,-0.028758717843243953
run05,0.0,3.3696969696969696,Tc_minus_Tn_over_Tc,0.1996282091951486,0.1941956065733504,-0.027213601943839053
run05,0.0,3.3737373737373737,Tc_minus_Tn_over_Tc,0.2015090785417022,0.1959315077886589,-0.02767900480418813
run05,0.0,3.3777777777777778,Tc_minus_Tn_over_Tc,0.2033675154948877,0.1975742836306191,-0.02848651541113134
run05,0.0,3.381818181818182,Tc_minus_Tn_over_Tc,0.205370421410504,0.199019502883412,-0.03092421237427117
run05,0.0,3.385858585858586,Tc_minus_Tn_over_Tc,0.2072783875050594,0.2010461059158851,-0.030067204131555572
run05,0.0,3.38989898989899,Tc_minus_Tn_over_Tc,0.2089857675050293,0.2029455886964847,-0.02890234526807784
run05,0.0,3.393939393939394,Tc_minus_Tn_over_Tc,0.2107601109931528,0.2049339129179545,-0.027643741729608307
run05,0.0,3.397979797979798,Tc_minus_Tn_over_Tc,0.2125379090740241,0.2064961483410504,-0.028426744006733524
run05,0.0,3.402020202020202,Tc_minus_Tn_over_Tc,0.2146045182288978,0.208574083072906,-0.028100224570107715
run05,0.0,3.4060606060606062,Tc_minus_Tn_over_Tc,0.2166940703355182,0.2103358868093607,-0.029341751328556577
run05,0.0,3.4101010101010103,Tc_minus_Tn_over_Tc,0.2183091105218406,0.2123321332962444,-0.02737850569455845
run05,0.0,3.4141414141414144,Tc_minus_Tn_over_Tc,0.2208425758611635,0.2143872601641248,-0.029230394872304603
run05,0.0,3.4181818181818184,Tc_minus_Tn_over_Tc,0.2224988082667298,0.2162304170943659,-0.028172695490797362
run05,0.0,3.4222222222222225,Tc_minus_Tn_over_Tc,0.2244779536571471,0.2181693347112191,-0.028103512363460696
run05,0.0,3.4262626262626266,Tc_minus_Tn_over_Tc,0.2267391838411491,0.2202073682099776,-0.02880761728307012
run05,0.0,3.43030303030303,Tc_minus_Tn_over_Tc,0.2290228460301369,0.2222217268136427,-0.029696247926284405
run05,0.0,3.4343434343434343,Tc_minus_Tn_over_Tc,0.2313540996150065,0.2245424914642161,-0.02944234903174622
run05,0.0,3.4383838383838383,Tc_minus_Tn_over_Tc,0.2332492461208698,0.226543503088571,-0.028749259188704513
run05,0.0,3.4424242424242424,Tc_minus_Tn_over_Tc,0.2356750921363917,0.228632256622186,-0.029883665050737813
run05,0.0,3.4464646464646465,Tc_minus_Tn_over_Tc,0.2380806716052476,0.2307360639571878,-0.03084923945542969
run05,0.0,3.4505050505050505,Tc_minus_Tn_over_Tc,0.2403189417051364,0.2330870161791788,-0.03009303167967072
run05,0.0,3.4545454545454546,Tc_minus_Tn_over_Tc,0.2425543797168477,0.2353736073066606,-0.029604793855174966
run05,0.0,3.4585858585858587,Tc_minus_Tn_over_Tc,0.2447725636935416,0.2375641491384252,-0.02944943847604362
run05,0.0,3.4626262626262627,Tc_minus_Tn_over_Tc,0.2472329151772247,0.2398843277490023,-0.029723337699410622
run05,0.0,3.466666666666667,Tc_minus_Tn_over_Tc,0.2495148249814904,0.2423636238449724,-0.02866042583661515
run05,0.0,3.470707070707071,Tc_minus_Tn_over_Tc,0.2520082651310816,0.2445827846632058,-0.029465225928258572
run05,0.0,3.474747474747475,Tc_minus_Tn_over_Tc,0.254298655338327,0.2470582296816621,-0.02847213504543317
run05,0.0,3.478787878787879,Tc_minus_Tn_over_Tc,0.2568344251157058,0.2499776046222452,-0.02669743547957627
run05,0.0,3.482828282828283,Tc_minus_Tn_over_Tc,0.2591154791860386,0.2525642317693634,-0.025283118697712367
run05,0.0,3.486868686868687,Tc_minus_Tn_over_Tc,0.2617353663556938,0.2545518555005376,-0.02744570195146615
run05,0.0,3.490909090909091,Tc_minus_Tn_over_Tc,0.2643103939237154,0.2568727937859429,-0.02813964304377347
run05,0.0,3.4949494949494957,Tc_minus_Tn_over_Tc,0.2670506517333866,0.2598746398145049,-0.02687135145450211
run05,0.0,3.4989898989898998,Tc_minus_Tn_over_Tc,0.2698163756720921,0.2622949653278218,-0.02787603356369688
run05,0.0,3.503030303030303,Tc_minus_Tn_over_Tc,0.2726966009480976,0.2650271754803499,-0.028124389673663222
run05,0.0,3.507070707070707,Tc_minus_Tn_over_Tc,0.2756103173307649,0.2677017474986757,-0.02869475246312347
run05,0.0,3.511111111111111,Tc_minus_Tn_over_Tc,0.2791266919493809,0.2704136463142655,-0.031215379562107497
run05,0.0,3.515151515151515,Tc_minus_Tn_over_Tc,0.2821075054302818,0.2733521473692388,-0.031035537490181158
run05,0.0,3.519191919191919,Tc_minus_Tn_over_Tc,0.2843796161400287,0.2762530552529637,-0.02857645353548657
run05,0.0,3.5232323232323237,Tc_minus_Tn_over_Tc,0.2876320022495026,0.2793017057324081,-0.028961647007096546
run05,0.0,3.527272727272728,Tc_minus_Tn_over_Tc,0.2907359817569471,0.2822646390404606,-0.029137579274822776
run05,0.0,3.5313131313131314,Tc_minus_Tn_over_Tc,0.2941280822681232,0.2853740088224426,-0.029762793739975094
run05,2.0,3.0,alpha,0.0214240624594285,0.019309076778619,-0.09872010431330293
run05,2.0,3.004040404040404,alpha,0.0216386986641567,0.0194924848751336,-0.09918405086800275
run05,2.0,3.008080808080808,alpha,0.0218131221150474,0.0196713185381563,-0.09818876754985995
run05,2.0,3.012121212121212,alpha,0.022017730173853,0.019830773185509,-0.09932708644695383
run05,2.0,3.0161616161616163,alpha,0.0221808029271115,0.0200067573282241,-0.09801473851201636
run05,2.0,3.0202020202020203,alpha,0.0223981554328332,0.0201938090386858,-0.09841642543993029
run05,2.0,3.0242424242424244,alpha,0.0225923381850306,0.0203579074204209,-0.09890214754709202
run05,2.0,3.0282828282828285,alpha,0.0227862121547662,0.0205438113703989,-0.09841042333568614
run05,2.0,3.0323232323232325,alpha,0.0230103764306806,0.0207330189019949,-0.0989708940897296
run05,2.0,3.036363636363636,alpha,0.0231807074919903,0.0209164158233551,-0.0976800069375617
run05,2.0,3.04040404040404,alpha,0.0234149761003496,0.0211215290546771,-0.09794787045023969
run05,2.0,3.0444444444444443,alpha,0.0236274345652899,0.0213097431641432,-0.09809323118606898
run05,2.0,3.0484848484848484,alpha,0.0238562576221238,0.0214947865047222,-0.09898749228846439
run05,2.0,3.0525252525252524,alpha,0.0240696468571392,0.0217147342459985,-0.09783743920788851
run05,2.0,3.0565656565656565,alpha,0.0242766921356684,0.0218774192730603,-0.09883030394750451
run05,2.0,3.060606060606061,alpha,0.0245258027889406,0.0220936762822493,-0.09916603047089723
run05,2.0,3.0646464646464646,alpha,0.0247428024775928,0.0222994542524245,-0.09874985775685703
run05,2.0,3.0686868686868687,alpha,0.0249702549280601,0.0225179689840494,-0.09820828626202625
run05,2.0,3.0727272727272728,alpha,0.0252222961001843,0.0227514897733741,-0.09796119738647209
run05,2.0,3.076767676767677,alpha,0.0254585449720122,0.0229144940509991,-0.09992915635241116
run05,2.0,3.080808080808081,alpha,0.0256894048929036,0.0231718742026396,-0.09799879369566236
run05,2.0,3.084848484848485,alpha,0.0259392402772132,0.0233618959691068,-0.09936082477984197
run05,2.0,3.088888888888889,alpha,0.0261968284946525,0.0235961245929799,-0.09927552498209759
run05,2.0,3.092929292929293,alpha,0.0264593104963446,0.0238308823921566,-0.09933849578397451
run05,2.0,3.096969696969697,alpha,0.0267192315179947,0.0240433766200507,-0.10014715042017136
run05,2.0,3.101010101010101,alpha,0.0269668297161602,0.0243128124948344,-0.09841784330085147
run05,2.0,3.105050505050505,alpha,0.0272335257907446,0.0245265107278954,-0.09940009544299203
run05,2.0,3.109090909090909,alpha,0.0274943008531907,0.0247937162586087,-0.09822343215789024
run05,2.0,3.113131313131313,alpha,0.0277931171090921,0.025047643170648,-0.0987825125072408
run05,2.0,3.117171717171717,alpha,0.0280722850241097,0.0252857701373929,-0.09926213289454767
run05,2.0,3.121212121212121,alpha,0.0283767859255514,0.0255539962257353,-0.09947531433693364
run05,2.0,3.125252525252525,alpha,0.0286476050720999,0.0258287594711855,-0.09839725149170295
run05,2.0,3.129292929292929,alpha,0.0289621786547327,0.0260448476957876,-0.10072898844121934
run05,2.0,3.1333333333333333,alpha,0.0292245936862945,0.0263366011232653,-0.09882062327469032
run05,2.0,3.1373737373737374,alpha,0.0295614784898389,0.0266163859175804,-0.09962602422848406
run05,2.0,3.141414141414141,alpha,0.0298673091973904,0.0269075231481404,-0.09909784740530318
run05,2.0,3.145454545454545,alpha,0.0301905166637998,0.0271890032187576,-0.09941908177547662
run05,2.0,3.1494949494949496,alpha,0.0305166544033725,0.0274471895575453,-0.10058326857376554
run05,2.0,3.1535353535353536,alpha,0.0308437444346344,0.0277626984680945,-0.09989208583508423
run05,2.0,3.1575757575757577,alpha,0.0312167286039493,0.028091225889129,-0.10012268596347679
run05,2.0,3.1616161616161618,alpha,0.0315460224276484,0.0283700558740502,-0.10067724261853815
run05,2.0,3.1656565656565654,alpha,0.0318931271919687,0.0286884624580589,-0.10048135808760682
run05,2.0,3.169696969696969,alpha,0.0322522896206483,0.0289986305520776,-0.10088149110777143
