T,branch_phys,phi_phys,phi2_phys,eta_phys,eta2_phys,veff_phys,eta_sym,eta2_sym,veff_sym,eta_broken,eta2_broken,phi_broken,phi2_broken,veff_broken,deta_phys_dT
3.100000000000001,broken,2.245768806140251,5.043477530632609,1.4458836704378288,2.090579588438768,-22.10684380898496,nan,nan,nan,1.4458836704378288,2.090579588438768,2.245768806140251,5.043477530632609,-22.10684380898496,-0.11037449555675583
3.200000000000001,broken,2.2017648957407507,4.847768656116279,1.4345596685694346,2.057961442686046,-24.82319560142043,nan,nan,nan,1.4345596685694346,2.057961442686046,2.2017648957407507,4.847768656116279,-24.82319560142043,-0.11623010221801966
3.300000000000001,broken,2.154852036471773,4.643387299086547,1.422637649994225,2.023897883181091,-27.809728337675594,nan,nan,nan,1.422637649994225,2.023897883181091,2.154852036471773,4.643387299086547,-27.809728337675594,-0.12235036381543196
3.4000000000000012,broken,2.104784076623505,4.430116009207859,1.4100895958063482,1.9883526682013102,-31.083735903840722,nan,nan,nan,1.4100895958063482,1.9883526682013102,2.104784076623505,4.430116009207859,-31.083735903840722,-0.12876955900810216
3.5000000000000013,broken,2.0512691359647737,4.20770506816167,1.3968837381926045,1.951284178026945,-34.6630487195977,nan,nan,nan,1.3968837381926045,1.951284178026945,2.0512691359647737,4.20770506816167,-34.6630487195977,-0.13552939563558564
3.6000000000000014,broken,1.9939568108661239,3.975863763599403,1.3829837166792311,1.9126439605999002,-38.56603440903177,nan,nan,nan,1.3829837166792311,1.9126439605999002,1.9939568108661239,3.975863763599403,-38.56603440903177,-0.14268147681449328
3.7000000000000015,broken,1.932420333620915,3.734248345791568,1.3683474428297058,1.8723747242985946,-42.81159863669903,nan,nan,nan,1.3683474428297058,1.8723747242985946,1.932420333620915,3.734248345791568,-42.81159863669903,-0.15029093384515413
3.8000000000000016,broken,1.8661310074313597,3.4824449368967816,1.3529255299102003,1.8304074894827966,-47.41918617137354,nan,nan,nan,1.3529255299102003,1.8304074894827966,1.8661310074313597,3.4824449368967816,-47.41918617137354,-0.15844197064524312
3.9000000000000017,broken,1.7944203729450006,3.2199444748400747,1.336659048700657,1.7866574124733459,-52.408782273185295,nan,nan,nan,1.336659048700657,1.7866574124733459,1.7944203729450006,3.2199444748400747,-52.408782273185295,-0.167246690656488
4.000000000000002,broken,1.716422012218479,2.9461045240281325,1.3194761917789026,1.7410174206713556,-57.80091455689959,nan,nan,nan,1.3194761917789026,1.7410174206713556,1.716422012218479,2.9461045240281325,-57.80091455689959,-0.17685988936122765
4.100000000000001,broken,1.6309776958104387,2.6600882442311278,1.3012870708284119,1.693348040705188,-63.61665558730515,nan,nan,nan,1.3012870708284119,1.693348040705188,1.6309776958104387,2.6600882442311278,-63.61665558730515,-0.18750547452450927
4.200000000000002,broken,1.5364767795286138,2.3607608940306206,1.2819750968740007,1.6434601490051033,-69.8776266623466,nan,nan,nan,1.2819750968740007,1.6434601490051033,1.5364767795286138,2.3607608940306206,-69.8776266623466,-0.19952765910359016
4.3000000000000025,broken,1.430559443608167,2.046500321696508,1.2613815390076937,1.5910833869494179,-76.60600365984824,nan,nan,nan,1.2613815390076937,1.5910833869494179,1.430559443608167,2.046500321696508,-76.60600365984824,-0.2135015400588811
4.400000000000002,broken,1.309508309961056,1.7148120138570615,1.2392747888622244,1.5358020023095107,-83.82452681140369,nan,nan,nan,1.2392747888622244,1.5358020023095107,1.309508309961056,1.7148120138570615,-83.82452681140369,-0.23051183461672142
4.500000000000002,broken,1.166799381475722,1.3614207966121277,1.2152791720843494,1.4769034661020217,-91.55651897320301,nan,nan,nan,1.2152791720843494,1.4769034661020217,1.166799381475722,1.3614207966121277,-91.55651897320301,-0.25305010788401994
4.600000000000002,broken,0.9887080326944048,0.9775435739144402,1.1886647672854203,1.412923928985702,-99.82592632133566,nan,nan,nan,1.1886647672854203,1.412923928985702,0.9887080326944048,0.9775435739144402,-99.82592632133566,-0.28975045305908154
4.700000000000003,broken,0.7324367665077586,0.5364636169323408,1.1573290814725328,1.3394106028220563,-108.65744511843205,nan,nan,nan,1.1573290814725328,1.3394106028220563,0.7324367665077586,0.5364636169323408,-108.65744511843205,-0.3306807352450809
4.8000000000000025,symmetric,0.0,0.0,1.1225286202364042,1.2600705032498456,-118.07739688988212,1.1225286202364042,1.2600705032498456,-118.07739688988212,nan,nan,nan,nan,nan,-0.10981962745160434
4.900000000000002,symmetric,0.0,0.0,1.135365155982212,1.2890540374185127,-128.10532982818705,1.135365155982212,1.2890540374185127,-128.10532982818705,nan,nan,nan,nan,nan,0.1411670005942316
5.000000000000003,symmetric,0.0,0.0,1.1507620203552504,1.324253227492098,-138.76297023618284,1.1507620203552504,1.324253227492098,-138.76297023618284,nan,nan,nan,nan,nan,0.16043067582990922
5.100000000000003,symmetric,0.0,0.0,1.167451291148194,1.3629425172035852,-150.0759083546613,1.167451291148194,1.3629425172035852,-150.0759083546613,nan,nan,nan,nan,nan,0.1709429666955824
5.200000000000003,symmetric,0.0,0.0,1.184950613694367,1.404107956894657,-162.07037857257478,1.184950613694367,1.404107956894657,-162.07037857257478,nan,nan,nan,nan,nan,0.17782061561212092
5.3000000000000025,symmetric,0.0,0.0,1.203015414270618,1.4472460869727064,-174.77318812605827,1.203015414270618,1.4472460869727064,-174.77318812605827,nan,nan,nan,nan,nan,0.18275561919774663
5.400000000000003,symmetric,0.0,0.0,1.2215017375339163,1.4920664947983768,-188.21169269308052,1.2215017375339163,1.4920664947983768,-188.21169269308052,nan,nan,nan,nan,nan,0.18650570902259567
5.5000000000000036,symmetric,0.0,0.0,1.2403165560751372,1.538385159274089,-202.41378552619486,1.2403165560751372,1.538385159274089,-202.41378552619486,nan,nan,nan,nan,nan,0.18947005382242654
5.600000000000003,symmetric,0.0,0.0,1.2593957482984017,1.5860776508320915,-217.40789183144344,1.2593957482984017,1.5860776508320915,-217.40789183144344,nan,nan,nan,nan,nan,0.19188208148902408
5.700000000000003,symmetric,0.0,0.0,1.2786929723729419,1.635055717595949,-233.22296555757075,1.2786929723729419,1.635055717595949,-233.22296555757075,nan,nan,nan,nan,nan,0.19388874203032724
5.800000000000003,symmetric,0.0,0.0,1.2981734967044671,1.6852544275459032,-249.88848742651334,1.2981734967044671,1.6852544275459032,-249.88848742651334,nan,nan,nan,nan,nan,0.1955877927113745
5.900000000000004,symmetric,0.0,0.0,1.317810530915217,1.7366245953910462,-267.43446365829044,1.317810530915217,1.7366245953910462,-267.43446365829044,nan,nan,nan,nan,nan,0.1970471226023136
6.0000000000000036,symmetric,0.0,0.0,1.33758292122493,1.7891280711526172,-285.89142510968026,1.33758292122493,1.7891280711526172,-285.89142510968026,nan,nan,nan,nan,nan,0.1983155340381666
6.100000000000003,symmetric,0.0,0.0,1.3574736377228502,1.8427346771125082,-305.29042667208876,1.3574736377228502,1.8427346771125082,-305.29042667208876,nan,nan,nan,nan,nan,0.1994291178760692
6.200000000000004,symmetric,0.0,0.0,1.377468744800144,1.897420142901284,-325.6630468384987,1.377468744800144,1.897420142901284,-325.6630468384987,nan,nan,nan,nan,nan,0.2004152054999988
6.300000000000004,symmetric,0.0,0.0,1.3975566788228502,1.9531646705223553,-347.0413873844885,1.3975566788228502,1.9531646705223553,-347.0413873844885,nan,nan,nan,nan,nan,0.20129491647490827
6.400000000000004,symmetric,0.0,0.0,1.4177277280951255,2.0099519110097663,-369.45807312842834,1.4177277280951255,2.0099519110097663,-369.45807312842834,nan,nan,nan,nan,nan,0.20208485607196636
6.5000000000000036,symmetric,0.0,0.0,1.4379736500372433,2.067768218201432,-392.94625174798665,1.4379736500372433,2.067768218201432,-392.94625174798665,nan,nan,nan,nan,nan,0.20279827881900836
6.600000000000004,symmetric,0.0,0.0,1.4582873838589272,2.126602093922114,-417.53959363753506,1.4582873838589272,2.126602093922114,-417.53959363753506,nan,nan,nan,nan,nan,0.20344590583102828
6.700000000000005,symmetric,0.0,0.0,1.478662831203449,2.1864437683826,-443.27229179581076,1.478662831203449,2.1864437683826,-443.27229179581076,nan,nan,nan,nan,nan,0.20403651139713475
6.800000000000004,symmetric,0.0,0.0,1.4990946861383543,2.247284878008251,-470.17906173633725,1.4990946861383543,2.247284878008251,-470.17906173633725,nan,nan,nan,nan,nan,0.20457735201822658
6.900000000000004,symmetric,0.0,0.0,1.5195783016070943,2.309118214715101,-498.2951414152037,1.5195783016070943,2.309118214715101,-498.2951414152037,nan,nan,nan,nan,nan,0.20507448554562746
7.000000000000004,symmetric,0.0,0.0,1.5401095832474798,2.3719375284107262,-527.6562911722644,1.5401095832474798,2.3719375284107262,-527.6562911722644,nan,nan,nan,nan,nan,0.20531281640385426
