phi_calc,veff_calc,phi_ref,veff_ref,delta_abs,delta_rel
0.08000000000000063,6.546246083871665e-06,0.08000000000000031,6.546246126504229e-06,-4.263256414560601e-14,-6.512520812958234e-09
0.09000000000000064,8.050294795225454e-06,0.0900000000000003,8.050294837858019e-06,-4.263256414560601e-14,-5.295776739147292e-09
0.10000000000000064,9.621728608522062e-06,0.1000000000000003,9.621728636943772e-06,-2.842170943040401e-14,-2.9539088559695472e-09
0.11000000000000065,1.1228753692194005e-05,0.11000000000000029,1.1228753720615714e-05,-2.842170943040401e-14,-2.531154403914163e-09
0.12000000000000066,1.2838535425885311e-05,0.12000000000000029,1.283853545430702e-05,-2.842170943040401e-14,-2.2137812783676353e-09
0.13000000000000067,1.4417775702213476e-05,0.13000000000000028,1.4417775759056894e-05,-5.684341886080802e-14,-3.942592797304423e-09
0.14000000000000068,1.5933300360870817e-05,0.1400000000000003,1.5933300389292526e-05,-2.842170943040401e-14,-1.7837929829970395e-09
0.1500000000000007,1.735264918067969e-05,0.1500000000000003,1.73526492091014e-05,-2.842170943040401e-14,-1.6378887792820086e-09
0.1600000000000007,1.8644662858946504e-05,0.1600000000000003,1.8644662887368213e-05,-2.842170943040401e-14,-1.524388485975778e-09
0.1700000000000007,1.9780059759000324e-05,0.17000000000000032,1.978005974478947e-05,1.4210854715202004e-14,7.184434677425823e-10
0.18000000000000071,2.0731999413214908e-05,0.18000000000000033,2.0731999470058327e-05,-5.684341886080802e-14,-2.741820389437242e-09
0.19000000000000072,2.1476627779293267e-05,0.19000000000000034,2.1476627836136686e-05,-5.684341886080802e-14,-2.64675717689548e-09
0.20000000000000073,2.199360118027016e-05,0.20000000000000034,2.199360123711358e-05,-5.684341886080802e-14,-2.5845434882617745e-09
0.21000000000000074,2.2266587492936196e-05,0.21000000000000035,2.226658750714705e-05,-1.4210854715202004e-14,-6.382143070032915e-10
0.22000000000000075,2.2283742083573088e-05,0.22000000000000036,2.2283742083573088e-05,0.0,0.0
0.23000000000000076,2.203815820678301e-05,0.23000000000000037,2.203815826362643e-05,-5.684341886080802e-14,-2.5793180256186392e-09
0.24000000000000077,2.1528291156869273e-05,0.24000000000000038,2.1528291199501837e-05,-4.263256414560601e-14,-1.980304137961146e-09
0.2500000000000008,2.0758355546490748e-05,0.2500000000000004,2.0758355560701602e-05,-1.4210854715202004e-14,-6.845848012212051e-10
0.2600000000000008,1.9738697560001128e-05,0.2600000000000004,1.9738697588422838e-05,-2.842170943040401e-14,-1.439897911353277e-09
0.2700000000000008,1.848614111565894e-05,0.2700000000000004,1.8486141186713212e-05,-7.105427357601002e-14,-3.843650919807958e-09
0.2800000000000008,1.7024310380975294e-05,0.2800000000000004,1.7024310423607858e-05,-4.263256414560601e-14,-2.504216798495804e-09
0.2900000000000008,1.538392804434352e-05,0.2900000000000004,1.5383928058554375e-05,-1.4210854715202004e-14,-9.237468259805029e-10
0.3000000000000008,1.3603092043013021e-05,0.30000000000000043,1.3603092085645585e-05,-4.263256414560601e-14,-3.1340348118787823e-09
0.31000000000000083,1.1727530917937656e-05,0.31000000000000044,1.1727530974781075e-05,-5.684341886080802e-14,-4.8470064997521055e-09
0.32000000000000084,9.810839500801194e-06,0.32000000000000045,9.810839529222903e-06,-2.842170943040401e-14,-2.8969701671040617e-09
0.33000000000000085,7.914695871136246e-06,0.33000000000000046,7.914695899557955e-06,-2.842170943040401e-14,-3.5910046060002622e-09
0.34000000000000086,6.1090613172609665e-06,0.34000000000000047,6.109061345682676e-06,-2.842170943040401e-14,-4.652385664859932e-09
0.35000000000000087,4.472364068419665e-06,0.3500000000000005,4.47236408263052e-06,-1.4210854715202004e-14,-3.1774816299936775e-09
0.3600000000000009,3.0916678639414386e-06,0.3600000000000005,3.091667892363148e-06,-2.842170943040401e-14,-9.193002101101999e-09
0.3700000000000009,2.0628274342016084e-06,0.3700000000000005,2.062827448412463e-06,-1.4210854715202004e-14,-6.8890176568760384e-09
0.3800000000000009,1.490630452849473e-06,0.3800000000000005,1.4906304812711824e-06,-2.842170943040401e-14,-1.906690476781777e-08
0.3900000000000009,1.4889283619368143e-06,0.3900000000000005,1.488928376147669e-06,-1.4210854715202004e-14,-9.544350784669711e-09
0.4000000000000009,2.1807561410014387e-06,0.4000000000000005,2.180756169423148e-06,-2.842170943040401e-14,-1.3032960689925318e-08
0.4100000000000009,3.698442370136945e-06,0.41000000000000053,3.6984423985586545e-06,-2.842170943040401e-14,-7.684778176207483e-09
0.42000000000000093,6.183709913898383e-06,0.42000000000000054,6.183709885476674e-06,2.842170943040401e-14,4.596222972419268e-09
0.43000000000000094,9.787768632918414e-06,0.43000000000000055,9.787768661340124e-06,-2.842170943040401e-14,-2.9037986505202666e-09
0.44000000000000095,1.4671400379029365e-05,0.44000000000000056,1.4671400407451074e-05,-2.842170943040401e-14,-1.937218577714616e-09
0.45000000000000095,2.1005036757060225e-05,0.45000000000000057,2.100503679969279e-05,-4.263256414560601e-14,-2.0296352990074045e-09
0.46000000000000096,2.8968830889652963e-05,0.4600000000000006,2.8968830918074673e-05,-2.842170943040401e-14,-9.81113442609474e-10
0.470000000000001,3.875272301456789e-05,0.4700000000000006,3.87527230429896e-05,-2.842170943040401e-14,-7.334119307919322e-10
