Lambda_GeV,C,include_daisy,phi_limit_GeV,status,output_dir,Tn_GeV,Tc_GeV,Ts_false_GeV,Ts_true_GeV,Tc_minus_Tn_over_Tc,S3_over_Tn,phi_true_Tn_GeV,phi_false_Tn_GeV,vTn_over_Tn,alpha,beta_over_H,omega_total_peak,f_total_peak_mHz,transition_error
1000.0,3.6760606060606063,False,521.5652744423084,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f521p565_mh125_Glauber_C3p67606_Lambda1000,72.18972958729456,84.58882905550583,60.9971335937466,93.57207226562471,0.1465808145904842,139.9635058136265,233.1244586655756,-0.0003179597182211569,3.229329989159644,0.037615114758582584,1374.865699206154,2.6107537585817647e-16,18.918966775122765,
1000.0,3.678181818181818,False,521.4148590752461,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f521p415_mh125_Glauber_C3p67818_Lambda1000,71.94566789185498,84.45856763438194,60.67401718749658,93.50836328124971,0.14815429734369687,140.08567889771913,233.29350231736097,-0.00028504628693027886,3.2426344650526526,0.03808221529566224,1436.4745290283047,2.4745231242992774e-16,19.81135111804306,
1000.0,3.6803030303030306,False,521.2645737690331,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f521p265_mh125_Glauber_C3p6803_Lambda1000,71.690033208006,84.32796332673429,60.344821679684046,93.44465429687472,0.14986642176761453,140.01126996193904,233.46839000790447,-0.0003368369874771678,3.256636655900333,0.03858671085493394,1386.9241966475674,2.752247743461019e-16,19.211870093326358,
1000.0,3.6824242424242426,False,521.1144183363429,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f521p114_mh125_Glauber_C3p68242_Lambda1000,71.43439758452543,84.19701340498824,60.01231914062153,93.38094531249972,0.15158038633834361,139.99379097750273,233.6419130978503,-0.0003368885350605611,3.2707200032224155,0.03909833927290203,1396.8611156037127,2.81344997657836e-16,19.211870093326358,
1000.0,3.6845454545454546,False,520.9643925902263,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f520p964_mh125_Glauber_C3p68455_Lambda1000,71.1701062543762,84.06571510137994,59.6511718749965,93.31723632812472,0.15339914531687676,139.8882287591591,233.81896904676404,-0.0002441366846536049,3.285353659738097,0.03964125764651848,1441.942923035235,2.742150426549742e-16,19.81135111804306,
1000.0,3.686666666666667,False,520.8144963441109,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f520p814_mh125_Glauber_C3p68667_Lambda1000,70.91556679952761,83.93406560888874,59.34731406249649,93.25352734374971,0.15510387486797084,139.97106058896944,233.98673112410367,-0.0003577349696144351,3.2995115414583744,0.040164436793208136,1363.3378588938072,3.179989057759148e-16,18.630529047900055,
1000.0,3.688787878787879,False,520.6647294117997,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f520p665_mh125_Glauber_C3p68879_Lambda1000,70.65450582774253,83.80206208975036,58.97089609374644,93.18981835937471,0.15688821890715607,139.90561443888615,234.1575119033355,-0.0002602816241801269,3.314120014853935,0.04071378045742483,1366.756145322938,3.28419885685975e-16,18.630529047900055,
1000.0,3.690909090909091,False,520.5150916074701,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f520p515_mh125_Glauber_C3p69091_Lambda1000,70.39143026545997,83.66970170299714,58.63036914062141,93.12610937499971,0.1586986826446583,140.05607892313228,234.3274709607059,-0.00030557109699507737,3.3289204392780594,0.041276994600330554,1122.6371468815323,5.054557615799958e-16,15.25760047357916,
1000.0,3.6930303030303033,False,520.3655827456735,transition_error,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f520p366_mh125_Glauber_C3p69303_Lambda1000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"IntegrationError(""findProfile: failed to bracket a solution within the iteration cap. Last event='undershoot', bracket=[410.708, inf]."")"
1000.0,3.6951515151515153,False,520.2162026413337,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f520p216_mh125_Glauber_C3p69515_Lambda1000,69.85878972684435,83.40389878379337,57.93871328124637,92.99917773437473,0.16240378752630968,140.02908062953836,234.66569521913547,-0.0003079518105692267,3.359143439740432,0.042448102368163564,1235.610530691114,4.504575816134224e-16,16.47583267897981,
1000.0,3.6972727272727273,False,520.0669511097462,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f520p067_mh125_Glauber_C3p69727_Lambda1000,69.59076788482959,83.27045037347617,57.58612539062134,92.93595507812472,0.16428015493241427,139.99702091187882,234.83224643696263,-0.00028485557587628035,3.374474137512065,0.04305209515496132,1224.3734227206483,4.768300162269967e-16,16.47583267897981,
1000.0,3.6993939393939397,False,519.9178279665774,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f519p918_mh125_Glauber_C3p69939_Lambda1000,69.32384025268777,83.13663334191162,57.20241249999633,92.87273242187473,0.16614568733396629,140.05038479157858,234.99648188771718,-0.0002923979322301482,3.389836469404276,0.04366199774103541,1179.8569775309675,5.336475116495791e-16,15.733693738950372,
1000.0,3.7015151515151516,False,519.7688330278634,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f519p769_mh125_Glauber_C3p70152_Lambda1000,69.04468863197765,83.00244465877876,56.82550820312129,92.80950976562472,0.16816078230202902,139.9261358189683,235.16593801208887,-0.00032754231117878294,3.405996068221432,0.044319792018146086,1174.0699423960518,5.613505763731461e-16,15.49381854297249,
1000.0,3.7036363636363636,False,519.619966110009,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f519p62_mh125_Glauber_C3p70364_Lambda1000,68.76843738937788,82.86788125322538,56.49042812499628,92.74628710937473,0.17014365096125492,140.00785421742577,235.33200218793323,-0.00032937173351579033,3.4220932032444744,0.04497909457096066,1182.4605747101036,5.761229960795018e-16,15.733693738950372,
1000.0,3.705757575757576,False,519.471227029787,FOPT_with_nucleation,03_Glauber_pure_C_scan\no_daisy\results_eft68_c6f20_c8f40_f519p471_mh125_Glauber_C3p70576_Lambda1000,68.48437713575468,82.73294001900807,56.11036269530873,92.68306445312473,0.17222357721096032,140.02566529705834,235.49997760415832,-0.0002872532048101205,3.438740154376132,0.04567445919153183,1191.4654185967327,5.917057128874015e-16,15.733693738950372,
