run,c8_over_f4_TeV4,c6_over_f2_TeV2,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run05,2.0,3.113131313131313,15.733693738950372,14.129445033049324,-0.1019626244490552,1.8737954614850691e-16,1.8170118480513142e-16,-0.03030406178311015
run05,2.0,3.117171717171717,12.30481426276792,14.129445033049324,0.1482859254367128,3.138316525722525e-16,1.8619391896991123e-16,-0.4067076490092268
run05,2.0,3.121212121212121,11.39498947221261,15.024983774380862,0.31856056655604814,3.8446255194495453e-16,1.7006507520651251e-16,-0.5576550320800513
run05,2.0,3.125252525252525,12.30481426276792,15.25760047357916,0.23996999448791537,3.293343497297685e-16,1.721717116647881e-16,-0.47721301526530224
run05,2.0,3.129292929292929,12.495317315618712,12.117215611000251,-0.03025947201403573,3.305268914173503e-16,2.733662496445735e-16,-0.17293794622175263
run05,2.0,3.1333333333333333,13.914028141593606,14.570335698348613,0.04716876738182579,2.756896631879984e-16,1.9555484481560799e-16,-0.29067037713976546
run05,2.0,3.1373737373737374,11.93247707994576,14.570335698348613,0.22106546702160876,3.768136010390227e-16,2.013557260759735e-16,-0.465635726733969
run05,2.0,3.141414141414141,9.33200535103738,11.571406623687016,0.23996999448791542,6.266811287486483e-16,3.202523592867446e-16,-0.48897079456306297
run05,2.0,3.145454545454545,12.688769735470949,11.39498947221261,-0.10196262444905344,3.509981657164201e-16,3.409824454219033e-16,-0.028534964774171404
run05,2.0,3.1494949494949496,12.885217184405017,13.49299699644052,0.04716876738182565,3.466396586839689e-16,2.523502624386764e-16,-0.27200983466019407
run05,2.0,3.1535353535353536,12.30481426276792,13.701895486497882,0.1135393996118471,3.896535373623669e-16,2.501464219142725e-16,-0.3580286127836604
run05,2.0,3.1575757575757577,13.084706031441256,12.688769735470949,-0.030259472014037683,3.6342939228700433e-16,2.952065483926445e-16,-0.18771966533868975
run05,2.0,3.1616161616161618,12.495317315618712,13.701895486497882,0.09656242737997459,3.984832410029248e-16,2.6128530796461256e-16,-0.3443003843599667
run05,2.0,3.1656565656565654,9.189730011909294,12.30481426276792,0.33897451250707894,7.526581680470652e-16,3.343916956608923e-16,-0.5557190370649348
run05,2.0,3.169696969696969,9.189730011909294,12.495317315618712,0.3597045070340033,7.897964086250925e-16,3.3307303282522517e-16,-0.5782798842994851
run05,2.0,3.173737373737373,11.22126196879453,12.30481426276792,0.09656242737997443,5.387072693702679e-16,3.5022265914087897e-16,-0.34988317579178324
run05,2.0,3.1777777777777776,11.22126196879453,12.117215611000251,0.0798442853127661,5.557032507666201e-16,3.691616024281276e-16,-0.33568572449621104
run05,2.0,3.1818181818181817,11.22126196879453,10.55243763123881,-0.059603308381505446,5.708746598521566e-16,4.969613961580229e-16,-0.12947371619765982
run05,2.0,3.1858585858585857,10.077112648825867,10.881712506287604,0.0798442853127661,7.119995040782194e-16,4.876214690418066e-16,-0.3151379091575363
run05,2.0,3.18989898989899,8.91165363379737,11.93247707994576,0.3389745125070777,9.368412111836233e-16,4.097645756143785e-16,-0.5626104288295836
run05,2.0,3.193939393939394,13.49299699644052,12.688769735470949,-0.059603308381505404,4.1934992413261126e-16,3.694648845209413e-16,-0.11895802703399273
run05,2.0,3.197979797979798,12.885217184405017,11.571406623687016,-0.10196262444905513,4.832397320456819e-16,4.577921820510155e-16,-0.05266030151730319
run05,2.0,3.202020202020202,9.47648339602273,12.30481426276792,0.2984578507183623,9.17566820610392e-16,4.2712145256610833e-16,-0.5345064326955776
run05,2.0,3.206060606060606,11.750555064331126,10.077112648825867,-0.14241390354273578,6.141154221470968e-16,6.508570860076364e-16,0.059828596604986434
run05,2.0,3.21010101010101,9.923477436927469,12.688769735470949,0.2786616199935329,8.644912532275273e-16,4.252248688375123e-16,-0.5081212594691268
run05,2.0,3.214141414141414,10.077112648825867,11.050183107177936,0.09656242737997438,8.710018920242857e-16,5.663184087949104e-16,-0.34980806129050285
run05,2.0,3.2181818181818183,10.077112648825867,9.923477436927469,-0.015245955587913326,9.00108157247449e-16,7.206869568307148e-16,-0.19933293457244997
run05,2.0,3.2222222222222223,5.976960701163556,8.775786958281639,0.46826914163468164,2.6631750872154414e-15,9.643695254508553e-16,-0.6378872984805594
run05,2.0,3.2262626262626264,7.186991357381771,8.510236278416366,0.18411667069496165,1.8714023502727936e-15,1.0484548393899333e-15,-0.43974910620524743
run05,2.0,3.2303030303030305,8.380489594072982,10.23312644005646,0.22106546702160892,1.4179075388754465e-15,7.52212877548551e-16,-0.469490882215679
run05,2.0,3.234343434343434,8.641991700066688,7.88098468840946,-0.08805921575362723,1.3845791869725596e-15,1.2714276571622222e-15,-0.08172268576255858
run05,2.0,3.238383838383838,10.55243763123881,7.760831545860945,-0.26454608716319344,9.547349359415478e-16,1.376258672081735e-15,0.4415086536290678
run05,2.0,3.242424242424242,7.411251927676268,9.623198249142844,0.2984578507183619,2.003364153813199e-15,9.041134095946884e-16,-0.5487024124526733
run05,2.0,3.2464646464646463,7.298260309936079,10.881712506287604,0.49100087475269977,2.132491748351001e-15,7.335363433301374e-16,-0.6560191410366012
run05,2.0,3.2505050505050503,12.688769735470949,10.23312644005646,-0.1935288721135696,7.17659369637218e-16,8.5538210717833055e-16,0.1919054406141627
run05,2.0,3.2545454545454544,8.380489594072982,7.525992880893312,-0.1019626244490542,1.6881555577193568e-15,1.646072527946565e-15,-0.024928407563130393
run05,2.0,3.2585858585858585,5.976960701163556,5.450634229228843,-0.08805921575362724,3.4348700979299226e-15,3.1818765365688804e-15,-0.07365447721400371
run05,2.0,3.2626262626262625,6.355786610517259,5.205115353904921,-0.18104309145751707,3.144461171839624e-15,3.696402299709712e-15,0.17552804684409012
run05,2.0,3.2666666666666666,8.00299804111444,11.22126196879453,0.40213228981772153,2.0840538603058628e-15,8.048247727415843e-16,-0.6138176713804002
