run,c8_over_f4_TeV4,include_daisy,c6_over_f2_TeV2,beta_over_H_raw,beta_over_H_best_fit,fit_degree
run05,2.0,False,3.0282828282828285,1523.7713588584209,1260.1099080275555,1
run05,2.0,False,3.0323232323232325,1338.848295030189,1243.3380667471035,1
run05,2.0,False,3.036363636363636,1272.1491806999718,1226.7894557247018,1
run05,2.0,False,3.04040404040404,1288.4078739280794,1210.4611038048665,1
run05,2.0,False,3.0444444444444443,1382.395237486087,1194.3500793776777,1
run05,2.0,False,3.0484848484848484,1333.6049540559925,1178.4534898524253,1
run05,2.0,False,3.0525252525252524,1134.3471678620438,1162.768481138276,1
run05,2.0,False,3.0565656565656565,1073.3780035266825,1147.29223713184,1
run05,2.0,False,3.060606060606061,948.1524885477388,1132.021979211568,1
run05,2.0,False,3.0646464646464646,1154.9128687078346,1116.9549657388823,1
run05,2.0,False,3.0686868686868687,933.807171262058,1102.0884915659203,1
run05,2.0,False,3.0727272727272728,1082.0378118246008,1087.419887549872,1
run05,2.0,False,3.076767676767677,1127.135315568083,1072.9465200737445,1
run05,2.0,False,3.080808080808081,1045.9179958697882,1058.6657905735244,1
run05,2.0,False,3.084848484848485,998.5858732504412,1044.5751350716282,1
run05,2.0,False,3.088888888888889,949.4246209079998,1030.6720237165632,1
run05,2.0,False,3.092929292929293,1047.5289872213527,1016.9539603287168,1
run05,2.0,False,3.096969696969697,1076.3814227730843,1003.4184819521861,1
run05,2.0,False,3.101010101010101,995.5448100113316,990.0631584125786,1
run05,2.0,False,3.105050505050505,947.4226317034844,976.8855918806968,1
run05,2.0,False,3.109090909090909,1112.8779964414098,963.8834164420255,1
run05,2.0,False,3.113131313131313,1066.173047610692,951.0542976719579,1
run05,2.0,False,3.117171717171717,835.4334123048586,938.3959322166679,1
run05,2.0,False,3.121212121212121,766.2599486767523,925.9060473795624,1
run05,2.0,False,3.125252525252525,838.9874674137398,913.5824007132433,1
run05,2.0,False,3.129292929292929,850.35720135559,901.4227796168915,1
run05,2.0,False,3.1333333333333333,942.8579836127516,889.4250009390107,1
run05,2.0,False,3.1373737373737374,819.4936769115841,877.5869105854765,1
run05,2.0,False,3.141414141414141,644.620107077446,865.9063831327727,1
run05,2.0,False,3.145454545454545,874.3940880128443,854.381321446396,1
run05,2.0,False,3.1494949494949496,893.1218400592301,843.009656304335,1
run05,2.0,False,3.1535353535353536,854.9822199648482,831.7893460255632,1
run05,2.0,False,3.1575757575757577,900.1997372532932,820.7183761034652,1
run05,2.0,False,3.1616161616161618,872.3579171850346,809.794758844155,1
run05,2.0,False,3.1656565656565654,644.4645704363244,799.0165330096063,1
run05,2.0,False,3.169696969696969,639.0003013769648,788.3817634655204,1
run05,2.0,False,3.173737373737373,785.047037287408,777.8885408338986,1
run05,2.0,False,3.1777777777777776,786.070712345392,767.5349811502269,1
run05,2.0,False,3.1818181818181817,787.9030642257281,757.3192255252311,1
run05,2.0,False,3.1858585858585857,717.2225759796357,747.2394398111223,1
run05,2.0,False,3.18989898989899,636.0761908214698,737.2938142722974,1
run05,2.0,False,3.193939393939394,966.2596519816518,727.480563260416,1
run05,2.0,False,3.197979797979798,914.302123773929,717.7979248938025,1
run05,2.0,False,3.202020202020202,674.4705286632116,708.2441607411183,1
run05,2.0,False,3.206060606060606,838.6701440514321,698.8175555092384,1
run05,2.0,False,3.21010101010101,719.3457524863949,689.5164167352885,1
run05,2.0,False,3.214141414141414,726.903908385322,680.3390744827772,1
run05,2.0,False,3.2181818181818183,728.7046234933664,671.2838810417743,1
run05,2.0,False,3.2222222222222223,430.8443504097047,662.3492106330782,1
run05,2.0,False,3.2262626262626264,522.8213256747053,653.5334591163248,1
run05,2.0,False,3.2303030303030305,613.5099599795121,644.8350437019741,1
run05,2.0,False,3.234343434343434,631.8515132120151,636.2524026671376,1
run05,2.0,False,3.238383838383838,774.8245855536121,627.7839950751822,1
run05,2.0,False,3.242424242424242,544.5484755177929,619.4283004990723,1
run05,2.0,False,3.2464646464646463,537.9055128345176,611.1838187483878,1
run05,2.0,False,3.2505050505050503,945.4257549083944,603.0490695999797,1
run05,2.0,False,3.2545454545454544,628.2386644818961,595.022592532208,1
run05,2.0,False,3.2585858585858585,448.966221699358,587.1029464627205,1
run05,2.0,False,3.2626262626262625,478.4449773580994,579.2887094897164,1
run05,2.0,False,3.2666666666666666,599.3700158484618,571.578478636658,1
run05,2.0,False,3.2707070707070707,708.1676131300369,563.9708696003786,1
run05,2.0,False,3.2747474747474747,472.6285425982677,556.464516502543,1
run05,2.0,False,3.278787878787879,429.8940491756724,549.0580716444176,1
run05,2.0,False,3.282828282828283,232.7618680749476,541.7502052649008,1
run05,2.0,False,3.286868686868687,422.0649861666815,534.5396053017778,1
run05,2.0,False,3.290909090909091,97.50249032197428,527.4249771561508,1
run05,2.0,False,3.294949494949495,612.9940733846125,520.4050434600057,1
run05,2.0,False,3.298989898989899,100.4146977804036,513.4785438468731,1
run05,2.0,False,3.3030303030303028,630.9809825609705,506.6442347255395,1
run05,2.0,False,3.307070707070707,425.0774547279288,499.90088905676913,1
run05,2.0,False,3.311111111111111,661.1262011199249,493.2472961330052,1
run05,2.0,False,3.315151515151515,702.470385779821,486.68226136099594,1
run05,2.0,False,3.319191919191919,623.5163728346032,480.20460604731437,1
run05,2.0,False,3.323232323232323,595.9222829815545,473.8131671867361,1
run05,2.0,False,3.327272727272727,137.8900178759821,467.50679725343196,1
run05,2.0,False,3.3313131313131312,137.97070546298806,461.28436399493916,1
run05,2.0,False,3.3353535353535357,391.4997134856292,455.14475022887694,1
run05,2.0,False,3.33939393939394,342.1087146922872,449.08685364236527,1
run05,2.0,False,3.3434343434343434,461.74278354463166,443.1095865941158,1
run05,2.0,False,3.3474747474747475,451.89594139914624,437.2118759191508,1
run05,2.0,False,3.351515151515152,389.59823936355065,431.39266273613356,1
run05,2.0,False,3.355555555555556,281.27515819315363,425.6509022572502,1
run05,2.0,False,3.35959595959596,130.40659074820127,419.98556360062946,1
run05,2.0,False,3.3636363636363638,431.06779125686967,414.39562960525654,1
run05,2.0,False,3.367676767676768,345.9122286864111,408.88009664834885,1
run05,2.0,False,3.3717171717171714,392.9269685305196,403.43797446516936,1
run05,2.0,False,3.3757575757575755,347.8393169925956,398.06828597122853,1
