run,Lambda_GeV,C,observable,no_daisy,with_daisy,relative_difference
run03,1000.0,3.6654545454545455,Tc_minus_Tn_over_Tc,0.1385902553527522,0.1363325671188452,-0.016290382236186406
run03,1000.0,3.66969696969697,Tc_minus_Tn_over_Tc,0.1416544198991089,0.1394136799286682,-0.015818355488212955
run03,1000.0,3.671818181818182,Tc_minus_Tn_over_Tc,0.1432326267936805,0.1410725276541085,-0.015081055119400518
run03,1000.0,3.673939393939394,Tc_minus_Tn_over_Tc,0.1448993470105265,0.1426502126585977,-0.015522046153633891
run03,1000.0,3.6760606060606063,Tc_minus_Tn_over_Tc,0.1465808145904842,0.1442720588008905,-0.015750736520627664
run03,1000.0,3.678181818181818,Tc_minus_Tn_over_Tc,0.1481542973436968,0.1459352716369736,-0.014977801835713197
run03,1000.0,3.680303030303031,Tc_minus_Tn_over_Tc,0.1498664217676145,0.1475510657677257,-0.015449464747206905
run03,1000.0,3.6824242424242426,Tc_minus_Tn_over_Tc,0.1515803863383436,0.1492750162783211,-0.01520889420928547
run03,1000.0,3.686666666666667,Tc_minus_Tn_over_Tc,0.1551038748679708,0.1525464818284612,-0.016488260152665694
run03,1000.0,3.688787878787879,Tc_minus_Tn_over_Tc,0.156888218907156,0.1545090535803242,-0.01516471627636842
run03,1000.0,3.690909090909091,Tc_minus_Tn_over_Tc,0.1586986826446583,0.1562954581343267,-0.015143317324899739
run03,1000.0,3.6951515151515153,Tc_minus_Tn_over_Tc,0.1624037875263096,0.1599312749037066,-0.015224476351590365
run03,1000.0,3.6972727272727273,Tc_minus_Tn_over_Tc,0.1642801549324142,0.1618704180686751,-0.014668459892373994
run03,1000.0,3.701515151515152,Tc_minus_Tn_over_Tc,0.168160782302029,0.1657263756531454,-0.01447666105948065
run03,1000.0,3.703636363636364,Tc_minus_Tn_over_Tc,0.1701436509612549,0.1676559535938037,-0.01462115896418427
run03,1000.0,3.705757575757576,Tc_minus_Tn_over_Tc,0.1722235772109603,0.1697181451802126,-0.014547555400493902
run03,1000.0,3.707878787878788,Tc_minus_Tn_over_Tc,0.1741594254565825,0.1716913029492841,-0.01417162752362021
run03,1000.0,3.71,Tc_minus_Tn_over_Tc,0.1762962551460669,0.1737465545192759,-0.014462590964728607
run03,1000.0,3.712121212121213,Tc_minus_Tn_over_Tc,0.1783349426438006,0.175842090150735,-0.01397848596640275
run03,1000.0,3.714242424242424,Tc_minus_Tn_over_Tc,0.180480708684807,0.1779488802172096,-0.01402824981155756
run03,1000.0,3.716363636363636,Tc_minus_Tn_over_Tc,0.1827730323951541,0.1801540317745503,-0.014329250799655928
run03,1000.0,3.7184848484848487,Tc_minus_Tn_over_Tc,0.1848866782197344,0.1824006462296445,-0.013446247258200483
run03,1000.0,3.7206060606060607,Tc_minus_Tn_over_Tc,0.1871844130018251,0.1846201983653324,-0.013698868379963343
run03,1000.0,3.7227272727272727,Tc_minus_Tn_over_Tc,0.1894166218791182,0.18690736686377,-0.01324727994013939
run03,1000.0,3.724848484848485,Tc_minus_Tn_over_Tc,0.1917030079022502,0.189254070950223,-0.012774640204268002
run03,1000.0,3.726969696969697,Tc_minus_Tn_over_Tc,0.1940072428408256,0.1915207087419893,-0.012816707574553825
run03,1000.0,3.729090909090909,Tc_minus_Tn_over_Tc,0.1965786531185419,0.1938945292983454,-0.01365419783692323
run03,1000.0,3.7312121212121214,Tc_minus_Tn_over_Tc,0.1990450716437202,0.1963966956565182,-0.013305408495330361
run03,1000.0,3.733333333333333,Tc_minus_Tn_over_Tc,0.201497610851931,0.1988403201824427,-0.013187703110986238
run03,1000.0,3.735454545454546,Tc_minus_Tn_over_Tc,0.2040653846283243,0.2013151037696981,-0.013477449218716991
run03,1000.0,3.7375757575757578,Tc_minus_Tn_over_Tc,0.2067969669232059,0.203907451837486,-0.013972715019524124
run03,1000.0,3.7396969696969697,Tc_minus_Tn_over_Tc,0.2094286709305735,0.2064645613135107,-0.01415331341163597
run03,1000.0,3.741818181818182,Tc_minus_Tn_over_Tc,0.2119859105717131,0.2091152233273511,-0.01354187755506919
