run,Lambda_GeV,C,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run03,1000.0,3.811818181818182,4.008690271328588,3.2328929644657234,-0.19352887211357045,1.1629233449038282e-13,1.5010394544189913e-13,0.2907466867845229
run03,1000.0,3.813939393939394,2.6885901539081773,3.2328929644657234,0.20244915714146272,2.8141939708324295e-13,1.653992680030768e-13,-0.4122677053630663
run03,1000.0,3.8160606060606064,2.8589957598435487,2.772484057660313,-0.030259472014036816,2.753289217361079e-13,2.466331822697735e-13,-0.10422348398922714
run03,1000.0,3.8181818181818175,3.385384540676955,2.903258713245916,-0.1424139035427365,2.1426188444837779e-13,2.483925824961352e-13,0.15929430535733272
run03,1000.0,3.8203030303030303,2.6072348353887778,2.730214888849026,0.04716876738182663,3.954949314589022e-13,3.11782960943766e-13,-0.21166382640186912
run03,1000.0,3.8224242424242423,2.4518350134720968,2.6072348353887778,0.06338102729702678,5.011811915147953e-13,3.798632694855715e-13,-0.24206399618179283
run03,1000.0,3.824545454545455,2.135212980634263,2.414454445747813,0.13077920921528016,7.325952181260362e-13,4.901589231658872e-13,-0.33092803360127865
run03,1000.0,3.826666666666666,1.7219876207698608,2.070602563202752,0.20244915714146283,1.296693860995166e-12,7.481932770650564e-13,-0.42299929106562983
run03,1000.0,3.828787878787879,1.9471878000926428,1.2471344069305643,-0.3595202235391838,1.135829328971123e-12,2.340718586233552e-12,1.0608013251021289
run03,1000.0,3.830909090909091,1.8882669253496651,1.2471344069305643,-0.33953489827735944,1.4226996363266142e-12,2.7241268143207346e-12,0.914758916614601
run03,1000.0,3.833030303030303,1.644422250173906,1.069525127797128,-0.3496043198855888,2.220368335174576e-12,4.3113997795253495e-12,0.9417498039514991
run03,1000.0,3.8393939393939394,0.5965493433268452,0.9314101166835858,0.5613295481800116,3.1365353294140447e-11,1.0397419656998728e-11,-0.6685062157759551
run03,2000.0,6.23,43.37082313671456,44.04228993302348,0.01548199337126496,1.4560885514039408e-17,1.1816552582893168e-17,-0.18847294201305212
run03,2000.0,6.234242424242424,42.70959349336101,43.37082313671456,0.015481993371262952,1.5172832366830758e-17,1.240378781139116e-17,-0.1825001745549493
run03,2000.0,6.238484848484849,42.70959349336101,44.04228993302348,0.03120367886127577,1.5608055548684214e-17,1.2448198473206601e-17,-0.20245039913021032
run03,2000.0,6.246969696969697,42.70959349336101,42.05844492778344,-0.015245955587912332,1.5971819534081e-17,1.4268997228368296e-17,-0.10661417142105734
run03,2000.0,6.255454545454546,42.70959349336101,40.16396042152748,-0.05960330838150545,1.6713843418923006e-17,1.6126554895499224e-17,-0.035137850026695165
run03,2000.0,6.25969696969697,42.70959349336101,39.551622464706206,-0.07394055457694058,1.7103856591284948e-17,1.7113205634280697e-17,0.0005466043839792811
run03,2000.0,6.263939393939395,37.77005550270059,39.551622464706206,0.04716876738182789,2.2258989082958445e-17,1.7196427096383016e-17,-0.22743898960134465
run03,2000.0,6.2681818181818185,38.35481125162571,38.35481125162571,0.0,2.2284688938059946e-17,1.8837949309441725e-17,-0.15466850976463692
run03,2000.0,6.2724242424242425,37.19421491395344,37.77005550270059,0.015481993371262916,2.4213748717471376e-17,1.9850479403724618e-17,-0.18019800918304116
run03,2000.0,6.276666666666667,36.62715356524805,37.19421491395344,0.015481993371262584,2.553444604630688e-17,2.091725550399529e-17,-0.18082203678663267
run03,2000.0,6.285151515151515,36.06873760868063,37.19421491395344,0.031203678861273544,2.7037070449159094e-17,2.1818238928280786e-17,-0.19302503689117784
run03,2000.0,6.297878787878789,34.4440540361618,33.91892151805883,-0.015245955587912216,3.1773182681915457e-17,2.7492050586892137e-17,-0.13474042364223207
run03,2000.0,6.302121212121213,33.40179514700463,35.518835236986625,0.06338102729702681,3.397092191887456e-17,2.5483621835977138e-17,-0.24984014573304228
run03,2000.0,6.306363636363637,32.89255286163679,33.40179514700463,0.015481993371264867,3.580719799645218e-17,3.009525574910957e-17,-0.15951938623928497
run03,2000.0,6.310606060606061,32.39107446153521,32.39107446153521,0.0,3.761716720654772e-17,3.216533805893764e-17,-0.14492928501700475
run03,2000.0,6.319090909090909,32.39107446153521,32.39107446153521,0.0,4.0374472726768476e-17,3.337708254831968e-17,-0.17331223681367094
run03,2000.0,6.327575757575758,29.53874184703508,31.89724157884989,0.07984428531276601,4.956156758766814e-17,3.6837266245277827e-17,-0.25673726562184773
run03,2000.0,6.331818181818182,30.460459261596025,30.93204788996968,0.015481993371262987,4.8307104037081275e-17,3.9654727331853645e-17,-0.17911189001489164
run03,2000.0,6.336060606060607,30.460459261596025,30.460459261596025,0.0,4.935371470211604e-17,4.1706181163385403e-17,-0.15495355486185416
run03,2000.0,6.340303030303031,28.64491511478483,29.53874184703508,0.03120367886127578,5.700071448793236e-17,4.504932842814204e-17,-0.20967081144782054
run03,2000.0,6.344545454545455,28.64491511478483,29.53874184703508,0.03120367886127578,5.751456217388063e-17,4.592790791346562e-17,-0.20145601083401643
run03,2000.0,6.34878787878788,28.208196011125303,29.088395500712377,0.03120367886127577,6.133348251042751e-17,4.8631529635487926e-17,-0.20709655403604524
run03,2000.0,6.353030303030304,28.208196011125303,28.208196011125303,0.0,6.352782463925163e-17,5.3710181775880434e-17,-0.15454083181852282
